lead_id,email,phone,company,job_title,source,created_date,email_valid_flag,phone_valid_flag,duplicate_flag,total_calls_attempted,total_emails_sent,total_linkedin_touches,replied_flag,positive_reply_flag,attempted_flag,connected_flag,qualified_flag,meeting_booked_flag,meeting_held_flag,primary_email_subject,primary_template_id,primary_call_script,contact_time_bucket,contact_day
136,user136@gmail.com,447841725910.0,Alpha Ltd,Manager,outbound,2026-04-23,1,1,0,0,5,1,0,0,1,0,0,0,0,,,S2,morning,Friday
184,user184@outlook.com,447092502849.0,Alpha Ltd,Director,inbound_event,2026-04-22,1,1,0,4,4,3,0,0,1,1,1,0,0,Subject A,T1,,morning,Wednesday
109,user109@company.com,,Alpha Ltd,Executive,inbound_event,2026-04-23,1,0,0,2,4,2,1,1,1,0,0,0,0,Subject A,T2,S2,afternoon,Wednesday
56,user56@company.com,447728562447.0,Beta Inc,Director,inbound_event,2026-04-25,1,1,0,4,4,0,0,0,1,0,0,0,0,Subject A,,S1,afternoon,Saturday
176,user176@yahoo.com,447462744024.0,Alpha Ltd,Director,inbound_event,2026-04-26,1,1,0,2,4,2,1,1,1,1,1,1,0,Subject B,T2,S1,afternoon,Friday
98,user98@yahoo.com,447565258924.0,Delta LLC,,inbound_event,2026-04-26,1,1,1,1,0,1,0,0,1,1,1,0,0,,T1,S1,morning,Friday
3,,447443050547.0,Gamma Corp,Manager,outbound,2026-04-20,0,1,0,3,0,2,0,0,1,0,0,0,0,,T2,S2,afternoon,Thursday
139,user139@yahoo.com,,Alpha Ltd,Director,inbound_event,2026-04-20,1,0,0,1,2,1,0,0,1,1,0,0,0,,,,morning,Saturday
167,user167@company.com,,Gamma Corp,,inbound_event,2026-04-25,1,0,1,4,5,3,1,0,1,0,0,0,0,Subject A,T2,S1,afternoon,Wednesday
7,user7@company.com,447452151766.0,Alpha Ltd,Director,referral,2026-04-25,1,1,0,3,3,2,0,0,1,1,1,1,1,Subject A,,,afternoon,Saturday
6,user6@outlook.com,447390082085.0,Beta Inc,Executive,inbound_event,2026-04-25,1,1,0,3,4,3,1,0,1,1,1,1,0,Subject B,T2,,afternoon,Friday
116,,447884950824.0,Beta Inc,,inbound_event,2026-04-25,0,1,1,3,3,1,0,0,1,0,0,0,0,Subject B,,,afternoon,Sunday
82,user82@yahoo.com,,Delta LLC,Executive,referral,2026-04-25,1,0,0,2,5,3,1,1,1,1,1,1,0,Subject B,T1,S1,afternoon,Saturday
27,user27@yahoo.com,447804491765.0,Gamma Corp,Director,inbound_event,2026-04-24,1,1,0,2,4,0,1,0,1,1,0,0,0,Subject B,T2,S1,afternoon,Monday
152,user152@company.com,447026095764.0,,,inbound_event,2026-04-20,1,1,0,4,4,0,1,0,1,1,0,0,0,Subject A,T2,S2,afternoon,Tuesday
59,user59@gmail.com,447592028900.0,,Executive,inbound_event,2026-04-20,1,1,0,3,1,2,0,0,1,1,1,1,0,,,S2,morning,Sunday
185,user185@yahoo.com,447314843939.0,,Manager,inbound_event,2026-04-24,1,1,0,3,4,3,0,0,1,0,0,0,0,,,S2,morning,Sunday
69,user69@yahoo.com,,Beta Inc,Director,inbound_event,2026-04-26,1,0,0,1,0,3,1,1,1,1,0,0,0,,,,afternoon,Thursday
115,user115@outlook.com,447150838015.0,Delta LLC,Director,inbound_event,2026-04-23,1,1,0,3,5,0,0,0,1,0,0,0,0,Subject A,T2,,afternoon,Wednesday
179,user179@gmail.com,,Alpha Ltd,Manager,inbound_event,2026-04-26,1,0,0,1,4,2,1,0,1,0,0,0,0,,T2,,afternoon,Tuesday
1,,447358130641.0,,Manager,inbound_event,2026-04-25,0,1,0,0,1,3,0,0,1,1,1,0,0,,T1,S2,morning,Wednesday
156,user156@company.com,,Gamma Corp,Director,referral,2026-04-20,1,0,0,4,2,0,0,0,1,1,0,0,0,,,S2,afternoon,Tuesday
111,,447261497402.0,,,inbound_event,2026-04-20,0,1,0,1,4,2,1,0,1,1,0,0,0,Subject A,T2,S2,morning,Wednesday
100,user100@yahoo.com,447687199032.0,Alpha Ltd,Manager,inbound_event,2026-04-23,1,1,0,0,2,3,0,0,1,0,0,0,0,Subject B,,S1,morning,Tuesday
8,user8@gmail.com,,Alpha Ltd,Executive,inbound_event,2026-04-25,1,0,0,0,1,3,0,0,1,0,0,0,0,Subject B,T2,,afternoon,Wednesday
125,user125@company.com,447351756950.0,Alpha Ltd,Manager,referral,2026-04-25,1,1,0,1,1,3,1,0,1,0,0,0,0,Subject B,T1,S1,morning,Friday
25,user25@yahoo.com,447805806396.0,Delta LLC,,inbound_event,2026-04-26,1,1,0,0,1,2,0,0,1,0,0,0,0,Subject A,T2,S1,afternoon,Thursday
54,user54@outlook.com,447399526357.0,Gamma Corp,Executive,inbound_event,2026-04-26,1,1,0,0,3,2,1,1,1,1,0,0,0,Subject B,T1,S2,afternoon,Sunday
